epoch,loss,out_power_loss,out_power_mae_mw,out_power_mismatch_mae_mw,out_power_normalized_mismatch,out_status_binary_accuracy,out_status_loss,out_status_precision,out_status_recall,val_loss,val_out_power_loss,val_out_power_mae_mw,val_out_power_mismatch_mae_mw,val_out_power_normalized_mismatch,val_out_status_binary_accuracy,val_out_status_loss,val_out_status_precision,val_out_status_recall
0,3.679272174835205,0.09427526593208313,12.604964256286621,0.014153605327010155,3.90658897231333e-06,0.7541740536689758,3.6792714595794678,0.5771821737289429,0.9677974581718445,3.744734048843384,0.09317617863416672,12.446548461914062,0.011302811093628407,3.1197307635011384e-06,0.7545713186264038,3.740893840789795,0.5777415037155151,0.9745447039604187
1,3.684664726257324,0.09446738660335541,12.630648612976074,0.014497391879558563,4.001477464044001e-06,0.7583785057067871,3.684664011001587,0.5808680653572083,0.9751077890396118,3.7202816009521484,0.09611351042985916,12.8368558883667,0.010933869518339634,3.017897370227729e-06,0.756999671459198,3.7166130542755127,0.5798285007476807,0.9790029525756836
2,3.7070109844207764,0.09489943087100983,12.688401222229004,0.014929108321666718,4.120638550375588e-06,0.7569022178649902,3.7070093154907227,0.5792174935340881,0.9763262271881104,3.8524093627929688,0.09470535069704056,12.654242515563965,0.013880533166229725,3.8312173273880035e-06,0.745842695236206,3.8486976623535156,0.5691955089569092,0.970797061920166
3,3.812589168548584,0.09591611474752426,12.824324607849121,0.015197301283478737,4.194661869405536e-06,0.7505455613136292,3.8125882148742676,0.572651207447052,0.9769735336303711,3.6146254539489746,0.09373052418231964,12.51576042175293,0.011891413480043411,3.282192437836784e-06,0.7639303803443909,3.610807418823242,0.5874212384223938,0.9756746888160706
4,3.72965145111084,0.09484294801950455,12.68086051940918,0.01494982372969389,4.126359726797091e-06,0.7561020255088806,3.7296504974365234,0.5783154964447021,0.9771236181259155,3.6084249019622803,0.0960623025894165,12.827657699584961,0.010953160934150219,3.023221779585583e-06,0.7666606307029724,3.604681968688965,0.5896623134613037,0.9819034934043884
5,3.60178279876709,0.09461922943592072,12.650943756103516,0.015246246941387653,4.208172867947724e-06,0.7644493579864502,3.601780891418457,0.586835503578186,0.9792772531509399,3.597184658050537,0.09462898969650269,12.640902519226074,0.01168927550315857,3.22640016747755e-06,0.7634703516960144,3.5923662185668945,0.5867011547088623,0.977895200252533
6,3.6083273887634277,0.0942610651254654,12.603056907653809,0.01514145266264677,4.179250481683994e-06,0.7627785205841064,3.608325719833374,0.585218608379364,0.9778105020523071,3.6053035259246826,0.09421543776988983,12.587555885314941,0.011079240590333939,3.0580217753595207e-06,0.763367772102356,3.6002328395843506,0.5865578651428223,0.9782277941703796
7,3.669999599456787,0.09525036066770554,12.73531723022461,0.015202733688056469,4.196158442937303e-06,0.7600212693214417,3.66999888420105,0.5821983814239502,0.979067325592041,3.993103504180908,0.1009567603468895,13.486726760864258,0.011426161043345928,3.15377610604628e-06,0.7426742911338806,3.98838472366333,0.564960241317749,0.9849840402603149
8,3.9073448181152344,0.0988239273428917,13.213118553161621,0.015222597867250443,4.201646788715152e-06,0.7457228899002075,3.907343864440918,0.567410945892334,0.9820804595947266,3.6002910137176514,0.09347578138113022,12.478511810302734,0.012551795691251755,3.464466999503202e-06,0.7615565657615662,3.599165439605713,0.5851497054100037,0.9733112454414368
9,3.8284106254577637,0.09788858145475388,13.08806037902832,0.015381569042801857,4.24552172262338e-06,0.7503125667572021,3.8284096717834473,0.5719679594039917,0.9822770357131958,3.7484867572784424,0.0970156192779541,12.955720901489258,0.012386087328195572,3.4187291930720676e-06,0.7548059821128845,3.7471837997436523,0.5773181915283203,0.9817968010902405
10,3.77770733833313,0.09795865416526794,13.097429275512695,0.015272215008735657,4.215337867208291e-06,0.7540172338485718,3.777707099914551,0.5757792592048645,0.9815279245376587,3.786285638809204,0.09807384759187698,13.095849990844727,0.012144597247242928,3.352075054863235e-06,0.7549725770950317,3.7826507091522217,0.5771238207817078,0.9858125448226929
11,3.920055866241455,0.09988874942064285,13.355483055114746,0.015839889645576477,4.372024250187678e-06,0.7467824220657349,3.920055866241455,0.5683033466339111,0.9840695261955261,3.974674940109253,0.09675388783216476,12.926047325134277,0.01319869328290224,3.643019454102614e-06,0.7409656643867493,3.9726855754852295,0.5644379258155823,0.9695543646812439
12,3.94465970993042,0.09960668534040451,13.317781448364258,0.01605147309601307,4.430422904988518e-06,0.7451592087745667,3.9446585178375244,0.566891610622406,0.9816051721572876,3.842066764831543,0.09868396073579788,13.180954933166504,0.012513776309788227,3.453973931755172e-06,0.7501048445701599,3.840125322341919,0.5723854303359985,0.9838698506355286
13,3.8560125827789307,0.0982787013053894,13.140229225158691,0.015225142240524292,4.202348009130219e-06,0.7494308352470398,3.8560116291046143,0.5710629224777222,0.9825267791748047,3.7989180088043213,0.09857908636331558,13.168509483337402,0.011887053027749062,3.2809887215989875e-06,0.7509647011756897,3.7973883152008057,0.5733535289764404,0.9826322197914124
14,3.909365653991699,0.09843228757381439,13.160758018493652,0.01529720425605774,4.22223729401594e-06,0.7464870810508728,3.909364938735962,0.568317174911499,0.9801874756813049,4.139904022216797,0.1022706851363182,13.664752006530762,0.01225047092884779,3.381298029125901e-06,0.7334836721420288,4.135056018829346,0.5561962127685547,0.9842200875282288
15,3.9057061672210693,0.09830296039581299,13.143471717834473,0.015309327282011509,4.225578322802903e-06,0.7469019293785095,3.905705451965332,0.5687175393104553,0.9803404211997986,3.8418707847595215,0.09832360595464706,13.132081031799316,0.013400700874626637,3.698777391036856e-06,0.7475304007530212,3.8383936882019043,0.5701320171356201,0.9800294637680054
